parameterName,description
HardwareErrorDetail,Provides a description of the hardware error found during initialization
ProcessingCurrState,State identifier of the current Processing State.  This value matches the ProcessState with the exception of NoState.
ProcessingPrevState,State identifier of the previous Processing State.  This value matches the PreviousProcessState with the exception of NoState
ControlCurrState,State Id of the current state of the Control state machine  The value will correspond with the ControlState (with strings instead off number) with the exception of NoState
ControlPrevState,State Id of the previous state of the Control state machine
ProcessState,Processing state of the equipment.  This parameter corresponds to the E30 ProcessState SV
PreviousProcessState,Previous process state of the equipment.  This parameter corresponds to the E30 PreviousProcessState SV
ControlState,Equipment GEM control state.  This parameter corresponds to the E30 ControlState SV
Clock,"Current value of time at the equipment.  This parameter is reported in the standard EDA time format, not the GEM selected format.  This parameter corresponds to the E30 Clock SV"
PPChangeName,PPID of the process program that was changed.  This parameter corresponds to the E30 PPChangeName DV
PPChangeStatus,Action taken on the process program.  This parameter corresponds to the E30 PPChangeStatus DV
PPExecName,PPID(s) of the currently selected process program(s).  This parameter corresponds to the E30 PPExecName SV
PPFormat,Indicates the type of process programs and recipes that are supported.  This parameter corresponds to the E30 PPFormat SV
PPError,Information about verification errors of a process program taht failed verification.  This parameter corresponds to the E30 PPError DV or SV
OperatorCommand,Command Operator issued while in remote control mode.  This parameter corresponds to the E30 OperatorCommand DV
EquipmentConstant,SECS Identifier (ECID) of the Equipment Constant that was changed while in remote control.
EDAEquipmentConstant,Reference to the EDA Control or Configuration Parameter that was changed while in remote control.
EstablishCommunicationsTimeout,Equipment Constant used to initialize the interval between attempts to resend a SECS Establish Communications Request.  This value specifies the number of seconds for the interval.
TimeFormat,"The setting of this ECV controls whether the equipment shall use the SECS variable item CLOCK and the SECS data items STIME, TIMESTAMP, and TIME in 12-byte, 16-byte, or Extended format"
PortStateInfoList,List of PortStateInfo for all load ports
PortTransferStateList,Current transfer state for all load ports
LoadPortReservationStateList,Current reservation state for all load ports
PortAssociationStateList,Current association state for all load ports
BypassReadID,Enables (true) or Disables (false) automatic ID acceptance when the carrier ID reader is unavailable
BakeTime,Bake time on hot plate in milliseconds
PinVoltage,Current voltage reading at the wafer pin actuator
HoodCurrState,The current state of the Hood
PinPositionCurrState,The current pin position state
TemperatureConditionCurrState,The current state of the temperature on the hot plate
ModuleProcessCurrState,State Id of the current state of the Module Process state machine
ModuleProcessPrevState,State Id of the previous state of the Module Process state machine
RCID,Recipe Component Identifier - The identifier of the recipe component specifying the instructions for the activity in the associated process module
RecID,Recipe Identifier - The identifier of the master recipe executing on the equipment
ModuleID,Module Identifier - The identifier of the equipment module in which the recipe execution is taking place
RecipeParameters,The recipe parameter settings applied to the module recipe to alter this instance of execution
SubstrateID,Substrate Identifer - This data parameter shall report the ID of the substrate processed by this recipe execution
ProcessJobID,The identifier of the SEMI E40 Process Job responsible for the recipe execution in the module
StepID,Identifier of the recipe step definition within the recipe
StepCount,A value that represents the number of recipe steps executed.  This counter shall have a value of 1 for the first step executed for the module process and is incremented for each successive step as it begins execution
WaferNumber,A value that represents the current wafer.  This counter shall have a value of 1 for the first step executed for the module process and is incremented for each successive wafer.
WaferTemperature,Wafer Temperature
BathTemperature,Bath Temperature
GasTemperature,Gas Temperature
VacuumPressure,Pressure reading from the vacuum pump
GasPressureLine1,Pressure reading from the first gas supply lines
GasPressureLine2,Pressure reading from the second gas supply line
GasSupplyFlowRate,Gas supply flow rate
CleanSupplyFlowRate,Clean supply flow rate
EtchingSupplyFlowRate,Etching supply flow rate
RecirculatingPumpFlowRate,Recirculating pump flow rate
ResistSupplyLevel,Volume of resist supply remaining
CleanSupplyLevel,Volume of clean supply remaining
BathLevel,Bath level
HeaterOutputWattage,Heater Output Wattage
PlasmaBeamIntensity,Plasma Beam Intensity
Door1Open,Indicates if Door 1 is open(true) or closed(false).
HeaterActive,Indicates if the heater is on (true) or off (false).
WaferPresentOnAligner,Indicates if a wafer is present (true) or absent (false) on the aligner.
IsModuleOnline,Indicates if the module is online (true) or not (false).
InCycleMode,Indicates if the hot plate is in cycle mode (true) or not (false).
WaferReflectance0001,Generated wafer reflectance sensor data
WaferReflectance0002,Generated wafer reflectance sensor data
WaferReflectance0003,Generated wafer reflectance sensor data
WaferReflectance0004,Generated wafer reflectance sensor data
WaferReflectance0005,Generated wafer reflectance sensor data
WaferReflectance0006,Generated wafer reflectance sensor data
WaferReflectance0007,Generated wafer reflectance sensor data
WaferReflectance0008,Generated wafer reflectance sensor data
WaferReflectance0009,Generated wafer reflectance sensor data
WaferReflectance0010,Generated wafer reflectance sensor data
WaferReflectance0011,Generated wafer reflectance sensor data
WaferReflectance0012,Generated wafer reflectance sensor data
WaferReflectance0013,Generated wafer reflectance sensor data
WaferReflectance0014,Generated wafer reflectance sensor data
WaferReflectance0015,Generated wafer reflectance sensor data
WaferReflectance0016,Generated wafer reflectance sensor data
WaferReflectance0017,Generated wafer reflectance sensor data
WaferReflectance0018,Generated wafer reflectance sensor data
WaferReflectance0019,Generated wafer reflectance sensor data
WaferReflectance0020,Generated wafer reflectance sensor data
WaferReflectance0021,Generated wafer reflectance sensor data
WaferReflectance0022,Generated wafer reflectance sensor data
WaferReflectance0023,Generated wafer reflectance sensor data
WaferReflectance0024,Generated wafer reflectance sensor data
WaferReflectance0025,Generated wafer reflectance sensor data
WaferReflectance0026,Generated wafer reflectance sensor data
WaferReflectance0027,Generated wafer reflectance sensor data
WaferReflectance0028,Generated wafer reflectance sensor data
WaferReflectance0029,Generated wafer reflectance sensor data
WaferReflectance0030,Generated wafer reflectance sensor data
WaferReflectance0031,Generated wafer reflectance sensor data
WaferReflectance0032,Generated wafer reflectance sensor data
WaferReflectance0033,Generated wafer reflectance sensor data
WaferReflectance0034,Generated wafer reflectance sensor data
WaferReflectance0035,Generated wafer reflectance sensor data
WaferReflectance0036,Generated wafer reflectance sensor data
WaferReflectance0037,Generated wafer reflectance sensor data
WaferReflectance0038,Generated wafer reflectance sensor data
WaferReflectance0039,Generated wafer reflectance sensor data
WaferReflectance0040,Generated wafer reflectance sensor data
WaferReflectance0041,Generated wafer reflectance sensor data
WaferReflectance0042,Generated wafer reflectance sensor data
WaferReflectance0043,Generated wafer reflectance sensor data
WaferReflectance0044,Generated wafer reflectance sensor data
WaferReflectance0045,Generated wafer reflectance sensor data
WaferReflectance0046,Generated wafer reflectance sensor data
WaferReflectance0047,Generated wafer reflectance sensor data
WaferReflectance0048,Generated wafer reflectance sensor data
WaferReflectance0049,Generated wafer reflectance sensor data
WaferReflectance0050,Generated wafer reflectance sensor data
WaferReflectance0051,Generated wafer reflectance sensor data
WaferReflectance0052,Generated wafer reflectance sensor data
WaferReflectance0053,Generated wafer reflectance sensor data
WaferReflectance0054,Generated wafer reflectance sensor data
WaferReflectance0055,Generated wafer reflectance sensor data
WaferReflectance0056,Generated wafer reflectance sensor data
WaferReflectance0057,Generated wafer reflectance sensor data
WaferReflectance0058,Generated wafer reflectance sensor data
WaferReflectance0059,Generated wafer reflectance sensor data
WaferReflectance0060,Generated wafer reflectance sensor data
WaferReflectance0061,Generated wafer reflectance sensor data
WaferReflectance0062,Generated wafer reflectance sensor data
WaferReflectance0063,Generated wafer reflectance sensor data
WaferReflectance0064,Generated wafer reflectance sensor data
