date,title,writerP,zbody
20180419 09:47,공 0419(목) 정식 서버 패치 변경점 안내,니치크,안녕하세요마비노기입니다2018년 04월 19일(목)패치로 변경되는 내용은 다음과 같습니다경매장 개 경매장에서 아이템 판매를 위해 아이템을 등록할 때 평균 판매가와 90 이상 차이가 나는 경우 경고창이 출력됩니다 경매장에서 아이템을 구매할 때 평균 판매가와 90 이상 차이가 나는 경우 경고창이 추가로 출력됩니다 경매장 기본 검색 옵션이 모에서 일반거로 변경됩니다 내구도 0으로 더 이상 사용할 수 없는 인챈트 스크롤이 등록 불가능하게 수정됩니다 이미 사용하여 스킬을 얻을 수 없는 스킬북 판매구매 시 경고창이 출력됩니다 경매장에서 일반거로 아이템 등록 시 개당 가격 입력 칸 밑에 단위가 표시된 상태로 등록할 아이템의 개당 가격을 볼 수 있습니다 검색 옵션 모인 상태에서 가격 정렬 시 일반 거래 아이템이 우선 정렬되도록 수정됩니다 입찰거 아이템의 정렬을 원하실 경우 검색 옵션을 통해 구분할 수 있습니다이리아 필드 레이드 보상 개 일부 이리아 필드 레이드에서 공헌도에 따른 보상이 간헐적으로 비정상 지급되던 문제가 수정됩니다 이리아 필드 레이드 9종의 보상 리스트가 일부 변경되고 공헌도가 높을수록 더 좋은 보상을 얻을 확률이 기존보다 높아집니다 사막 드래곤 레드 드래곤 평원 드래곤 거대 샌드웜 이프리트 매머드 예티 거대 악어 거대 사 드래곤 레이드 3종사막 드래곤 레드 드래곤 평원 드래에서는 낮은 확률로 소나타 신비 인챈트를 획득할 수 있습니다카메라 시야 개 카메라 최대 줌아웃 거리가 확장됩니다 자이언트 이신화 캐릭터의 카메라 높이조절 옵션이 추가됩니다 자이언트 캐릭터로 일부 지역에서 이동전투 시 간헐적으로 카메라가 땅을 비추던 문제가 수정됩니다 수정 사항 수원지 내 일부 비정상적인 지역으로 이동할 수 없도록 변경됩니다 (비정상 지역으로 이동 시 수원지 문게이트로 이동됩니다) 변신 메달을 사용하여 일부 몬스터로 변신 시 근접 전투 스킬을 사용할 수 있던 문제가 수정됩니다 아르바이트 타이틀의 효과가 적용되지 않던 문제가 수정됩니다 페르시 검은늑 정글리 동물 캐릭터가 인간형으로 변신했을 때 능력치가 상승하지 않던 문제가 수정됩니다 다중모니터 환경에서 채널 접속 환경설정 등을 시도할 때 클라이언트 위치가 모니터의 왼쪽상단으로 초기화되던 문제가 수정됩니다 음식의 조미료 효과 텍스트가 비정상적으로 사라지지 않던 문제가 수정 됩니다 자이언트가 서큐버스 퀸 풀커버 바디수 서큐버스 퀸 하프커버 바디수 서큐버스 퀸 미니멀 바디수 착용 시 손목 부분이 비정상적으로 보이던 문제가 수정됩니다 일부 헤어에 크리놀린 스타일 모 착용 시 머리 부분이 비정상적으로 보이던 문제가 수정됩니다 파티시에르 의상(여성용)과 리즈벳 부 착용 시 부츠가 의상 밖으로 보이던 문제가 수정됩니다 에이프런 원피와 플로피 햇(여성용)을 함께 착용했을 때 목 부분 악세사리가 사라지던 문제가 수정됩니다 외곽선 그리기 옵션이 활성화된 상태에서 개량된 르웰린 아를 착용 시 왼손이 비정상적으로 보이던 문제가 수정됩니다감사합니다
20180412 10:05,공 내용추 0412(목) 정식 서버 패치 변경점 안내,니치크,안녕하세요마비노기입니다2018년 04월 12일(목)패치로 변경되는 내용은 다음과 같습니다 수정 사항 스킬 슬롯에 등록한 동물 캐릭터 스킬이 사라지던 문제가 수정됩니다 낭만 농장 하우징 일부 인테리어 설정 시 벽바닥이 검게 보이던 문제가 수정됩니다 낭만 농장 설치물에 페인트 칠을 했을 때 페인트 색상이 적용되지 않은 것처럼 보이던 문제가 수정됩니다 평판 50레벨 100 달성 상태에서 평판 인장 사용 시 사용 불가 안내창이 뜨도록 개선됩니다 티르코네일 수호 길드일 때 퍼거스에게 수리비 할인이 중복으로 적용되던 문제가 수정됩니다 던바튼 수호 길드일 때 구매할 수 있는 개인 상점 허가증에 유효 기간이 삭제됩니다 수호 길드일 때 수요일 입금 수수료가 잘못 적용되던 문제가 수정됩니다 특정 상황에서 렉이 발생하던 문제가 완화됩니다(0413 11:40 이후 접속 시)감사합니다
20180405 10:05,공 0405(목) 정식 서버 패치 변경점 안내,니치크,안녕하세요마비노기입니다2018년 04월 05일(목)패치로 변경되는 내용은 다음과 같습니다 마음을 전달하는 배달부 이벤트가 진행됩니다 공지 바로가 수정 사항 스피닝 슬래 스킬로 몬스터를 움직이지 못하게 하던 문제가 수정됩니다 수원지에서 이동할 수 없는 지역에 진입할 수 있던 문제가 수정됩니다 펀치펀 종료 후 특정 위치에서 퇴장되지 않던 문제가 수정됩니다 간헐적으로 클라이언트가 비정상적으로 종료되던 문제가 수정됩니다 일부 캐릭터가 응급치 랭크2 에서 퀘스트를 받을 수 없던 문제가 수정됩니다 농땡이 부리는 알바생 카즈으로 변신 시 피부색이 비정상적으로 나오던 문제가 수정됩니다 기묘한 스타일리쉬 해결사 의상(여성용) 모션 중 망토 부분이 끊겨 보이던 문제가 수정됩니다 생산 스킬 사용 중 거대한 외침의 뿔피 아이템을 사용하면 캐릭터 제어가 불가능해지던 문제가 수정됩니다 상점가의 상점 내부 벽이 부자연스러운 문제가 수정됩니다감사합니다
20180329 13:26,공 2018년 04월 캐릭터 서버 이전이름 변경 서비스 진행일 안내,니치크,안녕하세요마비노기 입니다2018년 04월 캐릭터 서버 이전 작업과캐릭터 이름 변경 작업이 다음과 같이 진행됩니다 캐릭터 서버 이전 작업작업 날짜 04월 12일 정기점검 시 04월 26일 정기점검 시 캐릭터 이름 변경 작업작업 날짜 04월 05일 정기점검 시 04월 19일 정기점검 시감사합니다
20180329 11:01,공 0329(목) 정식 서버 패치 변경점 안내,니치크,안녕하세요마비노기입니다2018년 03월 29일(목)패치로 변경되는 내용은 다음과 같습니다 무기 에르그 이전 기능이 추가됩니다 NPC 카엘릭과 대화하여 무기에 깃든 에르그를 다른 무기로 옮길 수 있습니다 에르그 이전은 전이의 카탈리스가 필요합니다 같은 종류의 전용 장비가 아닌 무기이면서 에르그 레벨이 더 낮은 무기로 이전할 수 있습니다 에르그를 이전받은 무기는 전용 장비로 변경됩니다 G21 수정 사항 사도 제바에서 특정 스킬 사용 시 제바흐의 스킬이 비정상적으로 작동하던 문제가 수정됩니다 사도 제바 어려움 난이도에 전이의 카탈리스가 보상으로 추가됩니다 사도 제바 어려움 난이도의 신성 경험치 보상과 하루 획득 가능한 신성 경험치가 증가합니다 아발론 필드 레이드 아발론 정화 미션 사도 하시딤 레이드에서 획득할 수 있는 일부 보상 아이템을 분해하여 신성한 광물 조각을 획득할 수 있습니다 필드 레이드 진행 중 펫을 부활시켜 공헌도를 얻을 수 있던 문제가 수정됩니다 아발론 필드 레이드 보상 지급 조건이 조정됩니다 유니콘과 함께 아발론을 누 타이틀이 추가됩니다 아발론 전 지역의 문게이트가 스마트 콘텐츠에 추가됩니다 아발론 경계지에서 변이된 변이된 늑 변이된 멧돼 공격 시 몬스터가 다운되지 않던 문제가 수정됩니다 디바인 신시엘라크 L2의 특별 개조 이펙트가 출력되지 않던 문제가 수정됩니다 스킬 퀘스트의 드래곤 관련 항목이 실반 드래곤에게 적용되지 않던 문제가 수정됩니다 아켈론 크라우 스킬을 사용한 상태에서 아켈론이 연속으로 공격당할 때 체력이 감소하는 것처럼 보이던 문제가 수정됩니다 이네의 해안 정화에 대 키워드에 설명이 추가됩니다 아발론 해안 정 미션에 미션 설명이 추가됩니다 승리의 세이버 검과 빔 소드에 에르그 이펙트가 나오지 않던 문제가 수정됩니다 G21 메인스트림 파헤쳐진 요람 미션에서 보스 처치 후 NPC와 대화 시 미션이 클리어되지 않던 문제가 수정됩니다 G21 메인스트림 일부 퀘스트 진행 중 알터 아벨린의 위치가 잘못 표시되던 문제가 수정됩니다 대 퀘스트 진행 중 동물 캐릭터에 탑승하면 새도우 오브 스피리트에 공격받지 않던 문제가 수정됩니다 자이언트 캐릭터로 별의 상 퀘스트 진행 중 NPC의 모션이 잘못 출력되던 문제가 수정됩니다 폐허의 갈까마 퀘스트 완료 후 무대 밖의 퀘스트를 습득하기 전 기사단 NPC들이 곳곳에 배치되도록 수정됩니다 수호자의 퀘스트 중 이신화 하지 않고 NPC와 대화 시 포트레이트가 나오지 않던 문제가 수정됩니다 씨줄과 날 퀘스트 정보에서 아벨린 포트레이트가 단발이 아니던 문제가 수정됩니다 새로운 신 퀘스트 중 멀린 대사의 오탈자가 수정됩니다 아발론 게이트 BGM이 안나오던 문제가 수정됩니다 퀘스트 진행 중 성소 날씨가 변경되던 문제가 수정됩니다 일부 컷신에서 자이언트 캐릭터의 이름이 출력되지 않던 문제가 수정됩니다 G21 메인스트림 1부 일부 대사에서 NPC 알터의 표정이 어색하던 문제가 수정됩니다 이신화 상태에서 간헐적으로 루인 오브 노를 사용해도 변신 쿨타임이 동작하지 않던 문제가 수정됩니다 이신화 변신 중 승단 미션 진입 시 이신화 변신이 해제되도록 수정됩니다 이신화 변신 중 특별조부상 치 미션 진입 시 이신화 변신이 해제되도록 수정됩니다 마법의 장난 상태에서 이신화 변신 시 움직일 수 없던 문제가 수정됩니다 기타 수정 사항 변신 메달 교환권으로 교환할 수 있는 변신 메달 종류가 추가됩니다 낭만 농장 안에서 스마트 콘텐츠로 이동하면 동물 캐릭터에 탑승한 다른 캐릭터도 함께 이동되던 문제가 수정됩니다 낭만 농장에 진입 시 간헐적으로 클라이언트가 종료되던 문제가 수정됩니다 드레스룸을 열고 하우징 방 문을 클릭하면 간헐적으로 클라이언트가 종료되던 문제가 수정됩니다 캠프파이어 스킬을 배우지 않은 상태로 모닥불에 향초를 태우면 클라이언트가 종료되던 문제가 수정됩니다 평판 보상으로 중첩된 비정상적인 능력치가 원래의 능력치로 돌아옵니다 엘프 캐릭터가 문라이트 낭만 비행 사용 시 일부 이펙트가 나오지 않던 문제가 수정됩니다 엘프 캐릭터로 동성 캐릭터와 문라이트 낭만 비 함께 날기를 하면 한 캐릭터가 땅에 묻혀 보이던 문제가 수정됩니다 낭만 비행 액션 사용 중 함께 날기 요청을 받은 캐릭터가 전투모드로 전환했을 때 모션이 어색해 보이던 문제가 수정됩니다 두근두근 아일랜드 천 염색 시 마우스 커서 모양이 변경됩니다 두근두근 아일랜드 해안가의 일부 지형이 비정상적으로 보이던 문제가 수정됩니다 일요일에 마법 악보를 연주하면 항상 성공하던 문제가 수정됩니다 자동 생산 시도 중 장비 스왑으로 생산이 불가능할 경우에도 자동 생산이 지속되던 문제가 수정됩니다 길드전 승리 보상인 순간이동 책(던바튼) 순간이동 책(티르 코네일) 아이템이 만료 후에도 사용할 수 있던 문제가 수정됩니다 드레스룸에서 상냥한 입이 두껍게 나오던 문제가 수정됩니다 체인 블레이드 너클을 착용한 상태에서 악기관 수업준 제스처 사용 시 일부 물체가 보이지 않던 문제가 수정됩니다 사관학교 승마 장 아이템이 비정상적으로 보이던 문제가 수정됩니다 면사와 밤의 마녀 원피를 함께 착용했을 때 몸통 부분이 비정상적으로 보이던 문제가 수정됩니다감사합니다
20180329 08:32,공 개인정보처리방침 변경 안내,키르건,안녕하세요 넥슨 회원 여러분 넥슨 개인정보처리방침이 2018년 04월 05일자로 변경 됩니다 고객 여러분들께서 개인정보처리방침을 보다 쉽고 편하게 이해하실 수 있도록 변경하였습니다앞으로도 넥슨은 고객 여러분들의 소중한 개인정보를 보호하기 위해 최선을 다하겠습니다 변경 목적 조항 순서 변경 및 통합 주요 용어에 대한 정의 추가 설명 형식 변경 (상세 부연 설명) 처리위탁 업체 추가(카카오페이) 및 재위탁 분류(와이즈폴) 유효기간제 내용 추가 적용 일시 : 2018년 04월 05일 상세 변경 사항(이 외 자세한 변경 사항은 개인정보처리방침에서 확인 가능합니다) 감사합니다
20180322 11:02,공 내용추 0322(목) 정식 서버 패치 변경점 안내,블라니드,안녕하세요마비노기입니다2018년 03월 22일(목)패치로 변경되는 내용은 다음과 같습니다 두근두근 아일랜드 2차 이벤트가 진행됩니다 공지 바로가 수정 사항 낭만 농장 하우징 복도에 연구대를 제외한 가구를 설치할 수 있게 변경됩니다 업데이트 전에 이미 설치해놓은 가구는 모두 철거되며 설치 비용은 은행으로 지급됩니다 낭만 농장에서 동물 캐릭터를 소환할 수 있도록 변경됩니다 인형 가방을 소환한 상태로 낭만 농장에 입장할 수 있도록 변경됩니다 만료된 하우징의 가구 회수하기 기능이 동작하지 않던 문제가 수정됩니다 낭만 농장 게시판에서 검색하면 낭만 농장 랭킹 페이지를 넘길 수 없던 문제가 수정됩니다 다른 캐릭터의 낭만 농장으로 이동할 때 낭만 농장 정보 단축키(u)를 누르면 클라이언트가 종료되던 문제가 수정됩니다 낭만 농장의 경작물 목록이 비정상적으로 보이던 문제가 수정됩니다 포인트 인벤토에서 아이템명에 인챈트가 표기되도록 수정됩니다 스마트 콘텐츠에서 일부 요리 스킬북 구입 시 필요한 납품서 개수가 잘못 적혀있던 문제가 수정됩니다 에코스톤 슬롯이 만료된 상태에서 스킬 랭크업 시 에코스톤 효과가 적용되던 문제가 수정됩니다 윈터 크리스탈 의상(남성용)의 모션 중 팔 부분이 비정상적으로 보이던 문제가 수정됩니다 퀘사르 로 착용 시 목 부분이 비정상적으로 보이던 문제가 수정됩니다 특정 얼굴에 전투 교복 아이패치(여성용) 착용 시 코 부분이 어색하게 보이던 문제가 수정됩니다 골든로드 스프라이트 날의 영문명이 수정됩니다 인벤토리에 가지고 있던 별 조 아이템이 삭제됩니다(내용추가) 이신화 변신 시 사물 타격 모션이 없던 문제가 수정됩니다감사합니다
20180319 11:05,공 삼성카드 일반결제 인증정책 변경 안내,아일서,안녕하세요 넥슨 회원 여러분삼성카드 일반결제 인증정책이 변경되어 안내드립니다아래 내용 참고하셔서 이용에 불편 없으시길 바랍니다변경 내 공인인증서 인증이 종료되었습니다 삼성앱카드삼성페이 결제가 추가되었습니다변경된 인증 감사합니다
20180315 10:06,공 0315(목) 정식 서버 패치 변경점 안내,니치크,안녕하세요마비노기입니다2018년 03월 15일(목)패치로 변경되는 내용은 다음과 같습니다 수정 사항 유료 서비스 아이템 사용 시 재접속하지 않아도 적용되도록 개선됩니다 낭만 농장 목공 작업의 사용 권한을 설정할 수 있도록 변경됩니다 낭만 농장 밀 보리 옥수수 감자 조개 채집터의 수확 횟수가 남지 않은 경우 농장 편집 기능으로 이동이 불가능하던 문제가 수정됩니다 서버 이전된 캐릭터의 이름이 낭만농장 랭킹 게시판에서 검색되지 않던 문제가 수정됩니다 낭만 농장 하우징에서 파트너 탈것에 탑승 후 문을 클릭하면 클라이언트가 비정상 종료되던 문제가 수정됩니다 낭만 농장의 일부 텍스트가 비정상적으로 표시되던 문제가 수정됩니다 특정 상황에서 평판 일부 보상이 중첩되던 문제가 수정됩니다 이미 중첩된 캐릭터는 다음 주 점검 시 원래의 능력치로 돌아옵니다 휴 응급치 스킬 랭크업에 필요한 일부 아이템을 파기할 수 없던 문제가 수정됩니다 특별한 수호의 반 특별한 보호의 사 이비의 곰 인 요리 마스 타이틀에 유명 2차 타이틀 효과가 적용되지 않던 문제가 수정됩니다 일부 캐릭터의 에르그 효과가 적용되지 않던 문제가 수정됩니다 캔디팝 데님 자켓 의상(남성용) 의상을 입고 있을 때 사탕 무는 모션이 수정됩니다 계정 내 2개 이상의 캐릭터로 플레이할 때 인형 가방이 아이템을 주워오지 않던 문제가 수정됩니다 자신의 알파에서 채집한 알파카 을 특정 인형 가방이 줍지 못하던 문제가 수정됩니다 인형 가방을 소환한 상태에서 간헐적으로 클라이언트가 종료되던 문제가 수정됩니다 개인 상점 허가은 유효기간이 지나도 일괄 파기 기능으로 파기되지 않도록 수정됩니다 포인트 인벤토리의 아이템이 획득 순으로 정렬되도록 변경됩니다 포인트 인벤토리 최대 보유량이 300개에서 600개로 확장됩니다 신성 스킬이 연습 랭크일 때 율법를 사용할 수 있던 문제가 수정됩니다 스마트 콘텐츠에 생명력마나스태미나 300 및 500 포션의 포션 조제 레시피가 수정 및 추가됩니다 자이언트 여성이 만돌린 착용 시 일부 제스쳐가 남성 모션으로 나오던 문제가 수정됩니다 수호 길드 선발전 참가 신청 인원을 하루에 1회 이상 변경할 수 있던 문제가 수정됩니다 일부 한 손 부채 색상이 특정 상황에서 비정상 출력되던 문제가 수정됩니다 인벤토리에 보유하고 있던 스키점프 대기 아이템이 삭제됩니다 삭제되는 스키점프 대기 아이템의 개수에 비례하여 은행으로 50 골드가 지급됩니다감사합니다
20180308 12:08,공 내용추가3 0308(목) 정식 서버 패치 변경점 안내,니치크,안녕하세요마비노기입니다2018년 03월 08일(목)패치로 변경되는 내용은 다음과 같습니다 두근두근 아일랜드 이벤트가 진행됩니다 공지 바로가 생활 재능 스킬 낭만 농장 하우징 업데이트 기념 이벤트가 진행됩니다 공지 바로가(내용추가) 0308 12:15 낭만 농장이 있어도 나만의 연구소1 퀘스트가 완료되지 않았던 캐릭터는 재접속 시 퀘스트가 완료됩니다(내용추가) 0308 14:47 응급치료 랭크6 달성 후 딜리와 대화를 해도 간헐적으로 구호 물자 지 퀘스트를 지급받지 못하던 문제가 수정됩니다 요리 휴식 응급치료 캠프 파이어 4종의 생활스킬이 랭크 1 달성이 가능하도록 해금됩니다 각각의 스킬 랭크업을 할 수 있는 랭크업 아이템 랭크업 스킬북 및 랭크업 퀘스트가 추가됩니다 해금 이후의 상위 랭크에서 사용 가능한 신규 효과가 각각 추가되며 생명력마나스태미나 스탯을 추가로 지급받게 됩니다요리 요리 스킬을 랭크 1까지 달성할 수 있도록 변경되며 랭크 1의 수련 경험치를 전부 채운 경우 요리 마스터 타이틀을 획득할 수 있습니다 요리 스킬 랭크업 시 마나 스탯을 획득할 수 있습니다 랭크업에 따라 새로운 요리 방법 및 신규 요리 도구가 추가됩니다 : 피자 만들기발효수비드저미기 : 신규 요리 도구는 마을의 잡화점 및 일부 동물 캐릭터 상점에서 구입 가능합니다 신규 요리 100종이 추가되며 일부 신규 요리 섭취 시 획득 가능한 효과에 새로운 옵션이 추가됩니다 신규 요리 재료 3종 및 신규 물고기 3종이 추가됩니다휴식 휴식 스킬을 랭크 1까지 달성할 수 있도록 변경됩니다 휴식 스킬 랭크업 시 마나 스탯을 획득할 수 있습니다 랭크 5 부터 마나 회복 효과 랭크 1 부터 포션 중독 완화 효과가 새롭게 추가됩니다 응급치료 응급치료 스킬을 랭크 1까지 달성할 수 있도록 변경됩니다 응급치료 스킬 랭크업 시 생명력 스탯을 추가로 획득할 수 있습니다 랭크 5 부터 시전 시간이 감소하며 랭크 1 부터 다수 응급치료가 가능하게 됩니다 랭크 2 랭크 1 승급 시 에반 또는 아이던 중 한 명의 npc를 선택하여 랭크업 퀘스트를 진행할 수 있습니다캠프 파이어 캠프 파이어 스킬을 랭크 1까지 달성할 수 있도록 변경됩니다 캠프 파이어 스킬 랭크업 시 스태미나 스탯을 추가로 획득할 수 있습니다 랭크 5부터 스킬로 설치한 모닥불의 외형이 변경됩니다 (캠프파이어 키트 류 아이템으로 설치한 모닥불은 외형이 변경되지 않습니다) 랭크 5부터 모닥불에 향 아이템을 소각할 수 있게 됩니다 : 랭크 5부터 미니 향초 랭크 3부터 고급 향초 랭크 1부터 최고급 향초를 소각할 수 있습니다 : 미니 향초의 경우 마을의 힐러집에서 구입 가능하며 고급 및 최고급 향초는 핸디크래프트 스킬로 제작할 수 있습니다 : 한 번 향초가 소각된 모닥불에는 다른 향초를 추가로 소각할 수 없습니다 : 여러 개가 번들되어 있는 상태로 향초를 소각하지 않도록 주의해주세요 향가 태워진 모닥불 근처에서 1분간 휴식 시 특별한 효과를 받게 됩니다 : 바닐라 향초 (생명력마나스태미나 회복 속도 증가) 라벤더 향초(공격 딜레이 감소) 레몬그라스 향초(낚시 성공률 및 물고기 크기 보정) 체리 향초(채집 속도 증가) 코튼 향초(제작 성공률 증가) 체리 향초 효과는 야금 스킬에 적용되지 않습니다 : 향초의 종류와 등급에 따라 적용받는 효과가 달라집니다 : 한 번 향초 효과를 적용받으면 36분간 효과가 유지되며 로그아웃 시 효과가 사라집니다 기존에 다른 향초 효과를 적용받고 있었을 경우 기존 효과는 사라지며 가장 최근에 적용받은 효과 1개만 적용됩니다 : 한 번 향초 효과를 적용받은 뒤에는 동일한 모닥불에서 다시 효과를 받을 수 없습니다 캐릭터의 생명력마나스태미나의 기본 수치 한계가 1500에서 2500으로 증가합니다 기본 수치 증가분 만큼 반영되도록 연금술 스킬 대미지 계산 공식이 변경되었습니다 생명력마나스태미나에 영향받는 캐릭터 전투력 계산 공식이 변경되었습니다 (몬스터의 전투력은 변동이 없습니다) 일부 생활 스킬에서 획득 가능한 생명력마나스태미나 스탯 수치가 증가하거나 새로 지급됩니다 대상 스킬은 다음과 같습니다 : 생명력(응급치료 호미질 추수 우유 짜기) 마나(요리 휴식 버섯 채집 조련) 스태미나(캠프 파이어 힐웬 공학 매직 크래프트) 포션 조에 생명력마나스태미나 500 및 500RE 회복 포션 6종의 신규 레시피가 추가됩니다 기존의 생명력마나스태미나 300 회복 포션의 포션 조제 레시피 및 분해 결과물이 변경됩니다 생명력마나스태미나 RE 포션의 인벤토리 이미지와 단축키 아이콘이 변경됩니다(내용추가) 0313 19:10 낭만 농장에서 인형 가방을 소환할 수 있도록 변경됩니다 낭만 농장 하우징이 확장됩니다 하우징 건물이 집인 경우 2개의 방을 사용할 수 있습니다 하우징 건물이 저택(도시 사막 설원)인 경우 3개의 방을 사용할 수 있습니다 기존 방의 형태 및 가구 배치 상태는 유지됩니다 각각의 방은 서로 다른 형태로 꾸밀 수 있습니다 하우징 방 내에서 카메라를 자유롭게 회전할 수 있습니다 각 방에 배치할 수 있는 가구의 수가 7개로 제한됩니다 하우징 방에 배치되어 있던 집사 브라우니가 철거됩니다 화면 좌측의 버튼을 눌러 집사 브라우니와 대화할 수 있습니다 화면 좌측의 하우징 정보 버튼을 눌러 하우징의 현재 상태를 확인하거나 방에서 방으로 이동할 수 있습니다 하우징에 입장할 수 없는 캠프 이글루의 경우는 해당하지 않습니다 하우징에 설치할 수 있는 연구대 시설이 추가됩니다 연구대는 가구 설치 메뉴를 통해 설치할 수 있습니다 연구대는 음식 대장 재단 약품 목공 연구대 5종류가 있으며 종류별 2단계로 구성됩니다 1단계 연구대를 클릭 후 일정 비용을 지불하고 2단계로 업그레이드할 수 있습니다 연구대는 한 방에 하나만 설치할 수 있습니다 연구대에서는 연구 과제를 수행할 수 있으며 연구 과제는 일정 시간이 경과하면 완료할 수 있습니다 연구 과제를 완료하면 연구대 종류에 맞는 노하우 포인트를 획득합니다 일반 장식용 가구 시설은 같은 방에 설치된 연구대에 영감 지수를 제공하며 영감 지수 합계가 많을수록 연구 과제를 완료할 때 더 많은 노하우 포인트를 획득할 수 있습니다 노하우 포인트의 소수점 자리 수치는 획득되지 않습니다 연구대에서는 노하우 포인트를 소비하여 연구 효과 버프를 발동할 수 있습니다 버프를 발동하면 일정 시간 동안 낭만 농장에서 연구 효과 분야의 재능 스킬을 수련할 때 스킬 수련 경험치 보너스를 받습니다 버프는 낭만 농장에 있는 모든 캐릭터에 적용되며 버프의 효과 및 지속시간에 따라 소비되는 노하우 포인트가 다릅니다 낭만 농장에 설치할 수 있는 생산물이 추가됩니다 광맥 야금터 밀 보리 옥수수 감자 조개채집터 개암버섯 담갈색 송이버섯 황금버섯 생산물이 추가됩니다 새로 추가되는 생산물 채집을 통해 낭만 농장 내에서 채광 야금술 추수 호미질 버섯 채집 스킬을 수련할 수 있습니다 새로 추가되는 생산물은 매일 자정이 지나면 다시 채집할 수 있으며 개암버섯 담갈색 송이버섯 황금버섯은 각각 버섯의 출현 시간에 채집할 수 있습니다 낭만 농장 추천 기능이 추가됩니다 다른 플레이어의 낭만 농장 방문 후 퇴장할 때 낭만 음식 대장 재단 약품 목공 중 하나의 부문을 선택하여 추천을 할 수 있습니다 낭만 : 아름답고 낭만적인 낭만 농장 음식 : 음식 재료를 채집하거나 스킬을 수련하기 좋은 낭만 농장 대장 : 대장 재료를 채집하거나 스킬을 수련하기 좋은 낭만 농장 재단 : 재단 재료를 채집하거나 스킬을 수련하기 좋은 낭만 농장 약품 : 약품 재료를 채집하거나 스킬을 수련하기 좋은 낭만 농장 목공 : 목공 재료를 채집하거나 스킬을 수련하기 좋은 낭만 농장 하나의 ID가 하나의 낭만 농장에 하루에 한 번 추천할 수 있습니다 여러 ID가 하나의 낭만 농장에 복수 추천할 수 있습니다 하나의 ID가 여러 낭만 농장에 하루 한 번씩 추천할 수 있습니다 최근 3개월간 받은 부문별 추천 점수 합계를 기준으로 종합 랭킹이 산정됩니다 하단의 낭만 농장 메뉴를 통해 낭만 농장 게시판을 열 수 있습니다 낭만 농장 게시판에서 원하는 종합 랭킹 또는 부문별 추천 점수를 확인할 수 있으며 표시된 농장에 방문하거나 방문 요청을 할 수 있습니다 낭만 농장 게시판의 랭킹 및 추천 점수는 1시간마다 갱신되며 최근 3개월 이내에 추천 점수를 받은 낭만 농장만 표시됩니다 아이데른 엔델리온 엘리네드 평판이 추가됩니다 평판 레벨에 따라 생명력 마나 스태미나가 증가됩니다 신규 평판은 50레벨을 끝까지 달성 시 생명력 마나 스태미나를 랜덤한 수치로 획득할 수 있으며 원하는 수치를 달성할 때까지 50레벨 구간을 반복 진행할 수 있습니다 평판 일일 경험치 최대 달성 시 시스템 메시지가 최초 1회만 나오도록 개선됩니다 수정 사항 사관학교 중급부 교복(여성용) 착용 시 일부 신발이 비정상적으로 보이던 문제가 수정됩니다 자이언트 남성 캐릭터가 사관학교 승마 부츠(남성용) 착용 시 사관학교 승마 부츠(여성용)으로 보이던 문제가 수정됩니다 사관학교 승마 장 아이템이 드레스룸에 수집되지 않던 문제가 수정됩니다 사관학교 승마복(여성용) 모션 중 사관학교 승마 부츠(여성용)이 비정상적으로 보이던 문제가 수정됩니다 사관학교 중급부 교복(남성용) 아이템을 떨어뜨렸을 때 비정상적으로 보이던 문제가 수정됩니다 에르그 효과 중 경직 저항 확률 증가 효과가 적용될 때 입는 대미지가 비정상적으로 감소하던 문제가 수정됩니다 파이어 스킬을 연속으로 사용할 때 공격에 실패하던 문제가 수정됩니다 설치된 아이스 마을 공격 시 캐릭터가 굳던 문제가 수정됩니다 페카 하급 던전 보스 몬스터인 반시의 전투력이 던전 난이도에 맞게 수정됩니다 탐험 퀘스트 샐러맨더 사 보상에 꺼지지 않는 불이 추가됩니다 쿠르클레 발굴 수첩 8의 완성 보상이 승리의 라이트닝 원에서 꿈의 조으로 변경됩니다 자이언트 캐릭터가 요리 스킬 사용 시 모션이 어색했던 문제가 수정됩니다 동물 캐릭터의 부스터 사운드가 계속 남아있던 문제가 수정됩니다 인벤토리에 갖고 있던 응원 미터 응원의 기 겨울 운동회 참여 증 오늘의 퀴즈왕 증 아이템이 삭제됩니다감사합니다
